# Метеостанция Санкт-Петербург, Россия, WMO_ID=26063, выборка с 10.11.2021 по 10.11.2023, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=26063&lang=ru
#
"Местное время в Санкт-Петербурге";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"18.08.2023 09:00";"18.8";"771.1";"771.5";"0.8";"72";"Ветер, дующий с востоко-северо-востока";"1";"";"";"90  или более, но не 100%";" ";"";"";"15.6";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"13.6";"Осадков нет";"12";"Поверхность почвы влажная.";"14.0";"";"";
"18.08.2023 06:00";"15.8";"770.3";"770.7";"1.0";"85";"Ветер, дующий с востоко-северо-востока";"1";"";"";"10%  или менее, но не 0";" ";"";"";"15.7";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"13.2";"Осадков нет";"12";"";"";"";"";
"18.08.2023 03:00";"17.0";"769.3";"769.6";"1.2";"81";"Ветер, дующий с севера";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"13.7";"";"";"";"";"";"";
"18.08.2023 00:00";"18.6";"768.1";"768.5";"0.8";"84";"Ветер, дующий с западо-северо-запада";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"1500-2000";"Высококучевые башенкообразные или хлопьевидные.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"15.8";"";"";"";"";"";"";
"17.08.2023 21:00";"19.8";"767.3";"767.7";"0.7";"78";"Ветер, дующий с западо-северо-запада";"1";"";"";"70 – 80%.";" ";"";"";"";"24.2";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"15.8";"Осадков нет";"12";"";"";"";"";
"17.08.2023 18:00";"22.1";"766.6";"767.0";"0.4";"66";"Ветер, дующий с западо-северо-запада";"3";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"15.4";"Осадков нет";"12";"";"";"";"";
"17.08.2023 15:00";"23.8";"766.2";"766.6";"0.5";"70";"Ветер, дующий с запада";"3";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"18.0";"";"";"";"";"";"";
"17.08.2023 12:00";"23.4";"765.7";"766.1";"0.9";"72";"Ветер, дующий с западо-юго-запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"18.0";"";"";"";"";"";"";
"17.08.2023 09:00";"23.6";"764.8";"765.2";"1.0";"71";"Штиль, безветрие";"0";"";"";"10%  или менее, но не 0";"Состояние неба в общем не изменилось. ";"Гроза (грозы) с осадками или без них.";"Ливень (ливни).";"19.4";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"18.1";"7.0";"12";"Поверхность почвы влажная.";"18.0";"";"";
"17.08.2023 06:00";"19.4";"763.8";"764.2";"0.8";"90";"Ветер, дующий с востока";"1";"";"";"50%.";"Состояние неба в общем не изменилось. ";"Гроза (грозы) с осадками или без них.";"Ливень (ливни).";"19.4";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"17.7";"7.0";"12";"";"";"";"";
"17.08.2023 03:00";"20.2";"763.0";"763.3";"-1.4";"88";"Ветер, дующий с запада";"1";"";"";"100%.";"Гроза слабая или умеренная без града, но с дождем и/или снегом в срок наблюдения. ";"Гроза (грозы) с осадками или без них.";"Ливень (ливни).";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"100%.";"300-600";"";"";"4.0";"18.1";"";"";"";"";"";"";
"17.08.2023 00:00";"20.2";"764.4";"764.8";"-0.3";"89";"Штиль, безветрие";"0";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"18.3";"";"";"";"";"";"";
"16.08.2023 21:00";"22.9";"764.7";"765.1";"0.0";"77";"Ветер, дующий с западо-юго-запада";"1";"";"";"20–30%.";" ";"";"";"";"28.7";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"18.6";"Осадков нет";"12";"";"";"";"";
"16.08.2023 18:00";"27.5";"764.7";"765.0";"0.2";"58";"Ветер, дующий с западо-северо-запада";"2";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"18.6";"Осадков нет";"12";"";"";"";"";
"16.08.2023 15:00";"28.5";"764.5";"764.8";"-0.2";"51";"Ветер, дующий с юго-запада";"3";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"17.4";"";"";"";"";"";"";
"16.08.2023 12:00";"23.5";"764.7";"765.1";"-1.0";"59";"Ветер, дующий с юго-востока";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"14.9";"";"";"";"";"";"";
"16.08.2023 09:00";"20.8";"765.7";"766.1";"-0.6";"62";"Ветер, дующий с востоко-юго-востока";"2";"";"";"90  или более, но не 100%";" ";"";"";"15.5";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"1500-2000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"13.1";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"13.0";"";"";
"16.08.2023 06:00";"18.6";"766.3";"766.7";"-0.8";"66";"Ветер, дующий с востоко-юго-востока";"2";"";"";"10%  или менее, но не 0";" ";"";"";"15.5";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"10%  или менее, но не 0";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"12.0";"Осадков нет";"12";"";"";"";"";
"16.08.2023 03:00";"15.6";"767.1";"767.5";"0.0";"90";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"13.9";"";"";"";"";"";"";
"16.08.2023 00:00";"16.9";"767.1";"767.5";"0.1";"84";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"14.1";"";"";"";"";"";"";
"15.08.2023 21:00";"19.4";"767.0";"767.4";"0.1";"64";"Штиль, безветрие";"0";"";"";"10%  или менее, но не 0";" ";"";"";"";"24.6";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"12.4";"Осадков нет";"12";"";"";"";"";
"15.08.2023 18:00";"24.6";"766.9";"767.3";"-0.2";"43";"Ветер, дующий с северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"11.3";"Осадков нет";"12";"";"";"";"";
"15.08.2023 15:00";"23.9";"767.1";"767.5";"0.3";"49";"Ветер, дующий с запада";"3";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"10%  или менее, но не 0";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"12.5";"";"";"";"";"";"";
"15.08.2023 12:00";"22.3";"766.8";"767.2";"0.8";"62";"Ветер, дующий с запада";"3";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"10%  или менее, но не 0";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"14.6";"";"";"";"";"";"";
"15.08.2023 09:00";"20.6";"766.0";"766.4";"0.8";"80";"Ветер, дующий с западо-юго-запада";"2";"";"";"70 – 80%.";" ";"";"";"17.8";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые башенкообразные или хлопьевидные.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"17.0";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"15.0";"";"";
"15.08.2023 06:00";"17.8";"765.2";"765.6";"0.4";"90";"Ветер, дующий с запада";"1";"";"";"20–30%.";" ";"";"";"17.8";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"16.1";"Осадков нет";"12";"";"";"";"";
"15.08.2023 03:00";"18.1";"764.8";"765.1";"0.7";"88";"Ветер, дующий с запада";"2";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"10%  или менее, но не 0";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"16.1";"";"";"";"";"";"";
"15.08.2023 00:00";"18.9";"764.1";"764.5";"0.7";"82";"Ветер, дующий с запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"15.8";"";"";"";"";"";"";
"14.08.2023 21:00";"19.8";"763.4";"763.7";"0.4";"78";"Ветер, дующий с западо-северо-запада";"2";"";"10";"20–30%.";" ";"";"";"";"22.1";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"15.9";"Осадков нет";"12";"";"";"";"";
"14.08.2023 18:00";"21.4";"763.0";"763.3";"0.6";"70";"Ветер, дующий с запада";"4";"";"10";"70 – 80%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"15.7";"Осадков нет";"12";"";"";"";"";
"14.08.2023 15:00";"21.2";"762.4";"762.8";"0.9";"65";"Ветер, дующий с запада";"5";"";"";"70 – 80%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"14.4";"";"";"";"";"";"";
"14.08.2023 12:00";"21.8";"761.5";"761.8";"1.0";"69";"Ветер, дующий с запада";"4";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"15.9";"";"";"";"";"";"";
"14.08.2023 09:00";"20.6";"760.5";"760.9";"0.6";"67";"Ветер, дующий с запада";"3";"";"";"50%.";" ";"";"";"18.1";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые башенкообразные или хлопьевидные.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"14.3";"Осадков нет";"12";"Поверхность почвы влажная.";"16.0";"";"";
"14.08.2023 06:00";"18.4";"759.9";"760.3";"0.5";"79";"Ветер, дующий с запада";"1";"";"";"10%  или менее, но не 0";" ";"";"";"18.2";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"10%  или менее, но не 0";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"14.6";"Осадков нет";"12";"";"";"";"";
"14.08.2023 03:00";"18.9";"759.4";"759.8";"0.0";"89";"Ветер, дующий с западо-северо-запада";"1";"";"";"50%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"17.0";"";"";"";"";"";"";
"14.08.2023 00:00";"20.1";"759.4";"759.7";"0.3";"85";"Ветер, дующий с западо-северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"17.4";"";"";"";"";"";"";
"13.08.2023 21:00";"20.3";"759.1";"759.5";"-0.1";"85";"Ветер, дующий с запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"25.9";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"17.7";"Осадков нет";"12";"";"";"";"";
"13.08.2023 18:00";"22.2";"759.2";"759.6";"-0.5";"79";"Ветер, дующий с западо-юго-запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"18.3";"4.0";"12";"";"";"";"";
"13.08.2023 15:00";"24.3";"759.7";"760.1";"-0.9";"73";"Ветер, дующий с северо-северо-запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"19.2";"";"";"";"";"";"";
"13.08.2023 12:00";"21.9";"760.6";"760.9";"-0.9";"83";"Ветер, дующий с севера";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"18.9";"";"";"";"";"";"";
"13.08.2023 09:00";"18.5";"761.5";"761.9";"-1.1";"92";"Ветер, дующий с северо-востока";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Морось.";"17.7";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"100-200";"";"";"10.0";"17.2";"4.0";"12";"Поверхность почвы влажная.";"18.0";"";"";
"13.08.2023 06:00";"17.9";"762.6";"763.0";"-1.1";"90";"Ветер, дующий с северо-востока";"1";"";"";"100%.";"Дождь незамерзающий с перерывами слабый в срок наблюдения. ";"Дождь.";"Морось.";"17.7";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"16.3";"0.5";"12";"";"";"";"";
"13.08.2023 03:00";"18.3";"763.7";"764.1";"-0.5";"85";"Ветер, дующий с северо-востока";"1";"";"";"100%.";"Морось незамерзающая с перерывами слабая в срок наблюдения. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"4.0";"15.8";"";"";"";"";"";"";
"13.08.2023 00:00";"18.8";"764.2";"764.5";"-0.5";"82";"Ветер, дующий с северо-северо-востока";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"15.6";"";"";"";"";"";"";
"12.08.2023 21:00";"20.4";"764.7";"765.0";"-0.1";"63";"Ветер, дующий с востоко-северо-востока";"1";"";"";"60%.";" ";"";"";"";"24.1";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"13.2";"Осадков нет";"12";"";"";"";"";
"12.08.2023 18:00";"23.0";"764.8";"765.1";"-0.3";"56";"Ветер, дующий с востоко-северо-востока";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"13.8";"Осадков нет";"12";"";"";"";"";
"12.08.2023 15:00";"23.6";"765.1";"765.4";"-0.1";"57";"Ветер, дующий с запада";"2";"";"";"20–30%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"14.5";"";"";"";"";"";"";
"12.08.2023 12:00";"22.4";"765.2";"765.6";"0.4";"59";"Ветер, дующий с западо-северо-запада";"2";"";"";"20–30%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"13.9";"";"";"";"";"";"";
"12.08.2023 09:00";"20.5";"764.8";"765.2";"-0.1";"62";"Ветер, дующий с юго-юго-востока";"1";"";"";"60%.";" ";"";"";"16.9";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"10.0";"13.0";"Следы осадков";"12";"Поверхность почвы влажная.";"14.0";"";"";
"12.08.2023 06:00";"17.1";"764.9";"765.3";"-0.3";"73";"Ветер, дующий с западо-юго-запада";"1";"";"";"60%.";" ";"";"";"16.9";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2000-2500";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"12.1";"Следы осадков";"12";"";"";"";"";
"12.08.2023 03:00";"18.5";"765.2";"765.6";"-0.5";"71";"Ветер, дующий с юго-востока";"1";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"13.2";"";"";"";"";"";"";
"12.08.2023 00:00";"21.1";"765.7";"766.0";"-0.4";"58";"Ветер, дующий с востоко-юго-востока";"2";"";"";"70 – 80%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"300-600";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"12.5";"";"";"";"";"";"";
"11.08.2023 21:00";"23.0";"766.1";"766.5";"-0.2";"45";"Ветер, дующий с востоко-юго-востока";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"26.4";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"10.5";"Осадков нет";"12";"";"";"";"";
"11.08.2023 18:00";"24.5";"766.3";"766.6";"-0.8";"38";"Ветер, дующий с востоко-юго-востока";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"9.2";"Осадков нет";"12";"";"";"";"";
"11.08.2023 15:00";"25.8";"767.1";"767.5";"-0.7";"32";"Ветер, дующий с юго-востока";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"7.9";"";"";"";"";"";"";
"11.08.2023 12:00";"24.7";"767.8";"768.1";"0.3";"41";"Ветер, дующий с востоко-юго-востока";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"10.7";"";"";"";"";"";"";
"11.08.2023 09:00";"21.3";"767.5";"767.8";"-0.3";"56";"Ветер, дующий с востока";"1";"";"";"90  или более, но не 100%";" ";"";"";"15.6";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"12.2";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"13.0";"";"";
"11.08.2023 06:00";"15.9";"767.8";"768.1";"-0.2";"75";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"15.6";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"10%  или менее, но не 0";"2500 или более, или облаков нет.";"Высококучевые башенкообразные или хлопьевидные.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"11.5";"Осадков нет";"12";"";"";"";"";
"11.08.2023 03:00";"16.6";"768.0";"768.4";"0.4";"79";"Штиль, безветрие";"0";"";"";"50%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые башенкообразные или хлопьевидные.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"13.0";"";"";"";"";"";"";
"11.08.2023 00:00";"18.5";"767.6";"767.9";"0.7";"74";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"13.7";"";"";"";"";"";"";
